9983,48.6,7.14,56,DC Trosa,10/19/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.4,1.14,DC Trosa,10/13/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,25.94,0.78,7,DC Trosa,10/6/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,1070.81,216,12,DC Trosa,10/2/2020,AB Singapore Pte Ltd,Singapore,408934,SG,air,DHL,DAP
9983,30.47,0.505,8,DC Trosa,9/29/2020,AB Singapore Pte Ltd,Singapore,758114,SG,air,DHL,DAP
9983,19.04,0.17,1.14,DC Trosa,9/28/2020,AB Singapore Pte Ltd,Singapore,627870,SG,air,DHL,DAP
9983,59.82,6.1,9,DC Trosa,9/23/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.46,1.14,DC Trosa,9/22/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.46,1.14,DC Trosa,9/18/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,35,4.25,87,DC Trosa,9/18/2020,AB Singapore Pte Ltd,Singapore,408934,SG,air,DHL,DAP
9983,148.27,13,34,DC Trosa,9/16/2020,AB Singapore Pte Ltd,Singapore,627870,SG,air,DHL,DAP
9983,23.57,0.55,6,DC Trosa,9/14/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,21.41,1.4,1.14,DC Trosa,9/9/2020,AB Singapore Pte Ltd,Singapore,637037,SG,air,DHL,DAP
9983,175.35,49,342,DC Trosa,9/8/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.47,1.14,DC Trosa,9/4/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,79.96,15.27,5,DC Trosa,9/4/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
18310.724,206,210,24,DC Trosa,9/4/2020,AB Singapore Pte Ltd,Singapore,637377,SG,sea,Scan Global Logistics,CFR
9983,46.22,4.17,4,DC Trosa,9/3/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,59.82,4.44,3,DC Trosa,9/1/2020,AB Singapore Pte Ltd,Singapore,627870,SG,air,DHL,DAP
9983,25.94,0.46,6,DC Trosa,8/31/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,23.57,0.68,90,DC Trosa,8/28/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
